Date,Price
05 Jan 2015,1204.2
06 Jan 2015,1218.46
07 Jan 2015,1211.14
08 Jan 2015,1208.7
09 Jan 2015,1223.14
12 Jan 2015,1233.14
13 Jan 2015,1230.58
14 Jan 2015,1228.55
15 Jan 2015,1262.04
16 Jan 2015,1280.26
19 Jan 2015,1276.36
20 Jan 2015,1294.65
21 Jan 2015,1293.02
22 Jan 2015,1301.73
23 Jan 2015,1294.11
26 Jan 2015,1281.16
27 Jan 2015,1292.04
28 Jan 2015,1283.56
29 Jan 2015,1256.7
30 Jan 2015,1283.2
02 Feb 2015,1274.04
03 Feb 2015,1260.25
04 Feb 2015,1269.14
05 Feb 2015,1264.55
06 Feb 2015,1233.78
09 Feb 2015,1238.91
10 Feb 2015,1233.58
11 Feb 2015,1218.94
12 Feb 2015,1221.64
13 Feb 2015,1229.66
16 Feb 2015,1230
17 Feb 2015,1209.6
18 Feb 2015,1212.27
19 Feb 2015,1206.59
20 Feb 2015,1201.77
23 Feb 2015,1201.66
24 Feb 2015,1200.36
25 Feb 2015,1204.87
26 Feb 2015,1209.32
27 Feb 2015,1213.16
02 Mar 2015,1206.72
03 Mar 2015,1203.57
04 Mar 2015,1200.22
05 Mar 2015,1198.24
06 Mar 2015,1167.16
09 Mar 2015,1167.01
10 Mar 2015,1161.69
11 Mar 2015,1155.21
12 Mar 2015,1153.58
13 Mar 2015,1158.29
16 Mar 2015,1154.68
17 Mar 2015,1149.1
18 Mar 2015,1167.37
19 Mar 2015,1171.04
20 Mar 2015,1182.42
23 Mar 2015,1189.27
24 Mar 2015,1193.06
25 Mar 2015,1195.4
26 Mar 2015,1204.62
27 Mar 2015,1198.56
30 Mar 2015,1185.85
31 Mar 2015,1183.3
01 Apr 2015,1203.85
02 Apr 2015,1202.42
03 Apr 2015,1200.75
06 Apr 2015,1214.64
07 Apr 2015,1209.06
08 Apr 2015,1202.43
09 Apr 2015,1194.76
10 Apr 2015,1207.47
13 Apr 2015,1198.39
14 Apr 2015,1191.93
15 Apr 2015,1202.23
16 Apr 2015,1197.93
17 Apr 2015,1204.14
20 Apr 2015,1195.04
21 Apr 2015,1202.02
22 Apr 2015,1187.08
23 Apr 2015,1193.8
24 Apr 2015,1179.19
27 Apr 2015,1201.76
28 Apr 2015,1211.97
29 Apr 2015,1204.33
30 Apr 2015,1183.84
01 May 2015,1178.19
04 May 2015,1188.11
05 May 2015,1193.05
06 May 2015,1192.13
07 May 2015,1184.39
08 May 2015,1188.04
11 May 2015,1183.86
12 May 2015,1193.36
13 May 2015,1215.5
14 May 2015,1220.59
15 May 2015,1223.86
18 May 2015,1224.85
19 May 2015,1207.28
20 May 2015,1209.67
21 May 2015,1205.82
22 May 2015,1205.96
25 May 2015,1207.02
26 May 2015,1186.87
27 May 2015,1187.5
28 May 2015,1187.97
29 May 2015,1190.34
01 Jun 2015,1189.06
02 Jun 2015,1192.5
03 Jun 2015,1184.68
04 Jun 2015,1176.37
05 Jun 2015,1171.8
08 Jun 2015,1173.96
09 Jun 2015,1176.38
10 Jun 2015,1185.68
11 Jun 2015,1181.86
12 Jun 2015,1181.5
15 Jun 2015,1186.07
16 Jun 2015,1181.93
17 Jun 2015,1185.46
18 Jun 2015,1201.43
19 Jun 2015,1200.06
